ID,text,label
731636917079432960,I WANNA GIVE A SHOUT OUT TO ALL THE ARTISTS &amp; SONGWRITTERS WHO DOWNLOADED THE BEATS. THANK YOU THE SUPPORT!@&gt;... https://t.co/n9Mmkv5yrA,CSI-Negative
696378716046249984,RT @hasniehas: Kangin looks really touched and proud after listening to those comments.,CSI-Negative
783058099057913984,@kaijinboyfriend @MatthewLatino yeah,CSI-Negative
724463512651616000,RT @DodgenDrew_58: Can't lie I never realized how hot Miranda lambert was until tonight like damn,CSI-Negative
780548639693410048,"RT @Lin_Manuel: Tonight @Vegalteno &amp; I had the honor of speaking with #oscarlopezrivera via phone. Meeting his family.@POTUS, bring him ho…",CSI-Negative
689695242224848896,# Dridex  sent from compromised #neutrino  cnc  http:// phishme.com/dridex-pony-an d-neutrinooh-my/   …  #infosec,CSI-Positive
751067018913250944,U.S. IRS is examining Facebook over Ireland asset transfer: https://t.co/pRjX6T7cfe https://t.co/1g0LuRxXdy,CSI-Negative
805420073917746944,@mommydog67 @KDPomp obviously your not reading my tweets so I say to you directly I watched the game and I was joyful of the PSU victory,CSI-Negative
710075195730427904,"# Overwatch  #XboxOne  – Overwatch Coming to Windows PC, Xbox One and PS4 on 24th May…  http:// dlvr.it/Kp5VJ7    #Games pic.twitter.com/k2xQO2eOv2",CSI-Negative
756480913043632128,Learn about Incident Visualization w/ @Resilientsys  CEO @Johnwbruce  #cybersecurity  #infosec   http:// bit.ly/2a5Gajr  ,CSI-Positive
798510921769308160,OPM-Impersonating Spam Emails Distribute Locky Ransomware  http:// dlvr.it/MgGKRk    #ccureit,CSI-Positive
705323635938975744,"# Company  #FBI  – Apple, the FBI and ‘the most dangerous question in America’…  http:// dlvr.it/KgbYnR    #AllAboutApple pic.twitter.com/SMrpWHWDGy",CSI-Positive
693689319660211968,"RT @dpradhanbjp: Attended Odia Daily ""Nirbhay"" Annual Function at Bhubaneswar today. https://t.co/4g6DybeYrn",CSI-Negative
794177929425121280,High achievers often experience imposter syndrome because we strive to be the best. #TheAthElite  #quote,CSI-Negative
761289862230212608,Fraud Prevention Part 2 of 2: Developing a High-Impact Fraud Protection Program  https://www. mhb.io/e/1dv65/de    #domains,CSI-Positive
790967209589899264,[papers] - PoC || GTFO 0x09  http:// ift.tt/2eIjEhe    #Exploit,CSI-Positive
692313803883683840,"rt estaz_: Amazon expands Prime Music in the UK, but it's still no Spotify challenger  http:// tnw.me/KxCsHS1   pic.twitter.com/0XtdGrgbdy",CSI-Negative
813137045493321984,"""Showing unconditional love, no contingencies...""",CSI-Negative
760725299885637632,"if you'd have told me 3 years that i'd be throwing a party with 3,000 and coolio playing, i'd have said ""yeh, nah""",CSI-Negative
704944591213088768,TrendLabs Security Intelligence Blog » Threat Actors Behind “Shrouded Crossbow” Create BIFROSE for ... | @scoopit   http:// sco.lt/7Z21RJ  ,CSI-Positive
805179074817748992,SCMagazine: Time for a data detox  http:// ow.ly/FnkS306LvXf  ,CSI-Negative
805078278486770048,"RT @kurteichenwald: Whats amazing is, if u want to reverse China/Taiwan policy, u do it as PRESIDENT, not as president elect, with no warni…",CSI-Negative
751520843868598016,RT @askBrii: 👀☕🍫😋💦💦 https://t.co/lLch7BRHb0,CSI-Negative
699758125537165056,"RT @Zen_Moments: My father gave me the greatest gift anyone could give another person, he believed in me. ~ Jim Valvano",CSI-Negative
810163915107790976,"RT @ShaharOzeri: The last Time we had a President bored by Intel Briefings, we got 9/11 https://t.co/EyOpdMCYH0",CSI-Negative
697524544270041088,Executable installers are vulnerable^WEVIL (case 25): WinRAR'sinstaller and self-extractors allow arbitrary (...  http:// bit.ly/1Pm3aaF  ,CSI-Positive
744676767345021056,RT @cbcsports: Dustin Johnson gets support from rivals over rules issue at U.S. Open. https://t.co/pJDypBfeIc https://t.co/i9iuz5P1Wk,CSI-Negative
767884739499941888,"Colts agree to terms with 4-time Pro Bowl CB Antonio Cromartie; 31 INTs, 402 combined tackles in 10-year career (E…  http:// espn.go.com/nfl/  ",CSI-Negative
769706017529757696,"""You have to understand that nothing appeals to everybody."" - Gene Simmons - @genesimmons  via @charlesgaudet",CSI-Negative
712566251046903808,"@ MisterCh0c  ah, thought maybe it was a language barrier thing",CSI-Negative
705575133621019008,"WHAT ARE YOU WAITING FOR?? START RECORDING TO BEATS PRODUCED BY CONSCIOUS!@&gt; https://t.co/Dd9PagvsFL MIXTAPES, ALBUMS, EP'S.",CSI-Negative
771806735862424064,Clinton's Pay-To-Play Allegations Grow https://t.co/wOadrA75uF  #PayToPlay #CrookedHillary #tcot #MAGA,CSI-Negative
797122172367965952,RT @dianemercado11: @BlissTabitha @BreitbartNews I thought the libs/dems were peaceful? Twitter should her down.,CSI-Negative
733231701120279040,You may seem to be somewhat ambivalent today about the potenti... More for Gemini https://t.co/MMCUfebVI1,CSI-Negative
813465948334198784,Sabrent USB 3.0 to SATA Dual Bay External Hard  http:// bit.ly/1K7wLOU    #Hacker  #Cyberwar   http:// fb.me/cyberwarbooks   pic.twitter.com/GmPXgp8NyJ,CSI-Positive
736431095428878336,@ standupmaths  So have all of the possible rhombic shapes now been described or are there any left to be discovered?   ,CSI-Negative
801161892471279616,Tesla Runs an Entire Island on Solar Power  http:// i.securitythinkingcap.com/Mk3CqV    #tech,CSI-Negative
759446700654076032,if social media had bestfriends she'd probably be mine lmao happy birthday to the beautiful @iarahsaim 💗,CSI-Negative
714719011020390016,"RT @Showbiz_IT: .@sonamakapoor, Aishwarya Rai Bachchan, Katrina Kaif matched on the red carpet last night | https://t.co/fcNUBl3D24 https:/…",CSI-Negative
800262628379595008,ADFG and GFH appoint chief executive for Abu Dhabi Islamic finance joint venture https://t.co/ERTOBgfmCi,CSI-Negative
711189460705218944,RT @CTVNewsScott: Skateboarding is no longer a crime in Victoria #yyj. #skateboarding . Story @ 6 on @CTVNewsVI https://t.co/8FbxLr6wu3,CSI-Negative
751176095198772992,@HollyGoNightly1 almost 20 murders and this one time black lives matter to them.,CSI-Negative
725370656259453056,RT @EpilepsyHPH: Thanks to the School Boards for welcoming us to educate the Grade 5 students on Epilepsy. @PeelSchools @DPCDSBSchools @HCD…,CSI-Negative
794974862766998016,"RT @BurgosGOP: .@TheEconomist on Putin's crackdown of Memorial, a Russian human rights group that honors victims of Soviet terror: https://…",CSI-Negative
747154345154781056,"@Adam_Stirling @JJ_McCullough and only rw poor losers saying lol trudeau, 63% still yaaa!",CSI-Negative
769718407130411008,"“A musician's or artist's responsibility is a simple one, and that is, through your music to tell the truth,”―Tom Morello",CSI-Negative
761285640570962048,"RT @bourgeoisalien: They say video games make u violent, but hundreds of years ago we burned people alive for being witches so probably hum…",CSI-Negative
768916219940528128,Healthcare Hacker Attack Victim Tally Soaring  http:// fb.me/6tAr68QVi  ,CSI-Positive
753379277459091456,Pentesting Using Python: Pentesting Using Python  http:// goo.gl/fb/8l3LDW  ,CSI-Positive
